seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy filename
91615_DAStool_bin17.fa_virus_summary.tsv k99_1940973	19237	DTR	NA	19	11	0.7441	NA	0	3.2294	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin18.fa_virus_summary.tsv k99_321184	3476	No terminal repeats	NA	4	11	0.9815	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin18.fa_virus_summary.tsv k99_1200787	2739	No terminal repeats	NA	5	11	0.9788	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin24.fa_virus_summary.tsv k99_517880	6640	No terminal repeats	NA	9	11	0.9227	NA	2	3.9149	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin68.fa_virus_summary.tsv k99_65534	4655	No terminal repeats	NA	6	11	0.9635	NA	3	5.8033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin77.fa_virus_summary.tsv k99_1970438	4189	No terminal repeats	NA	2	11	0.9781	NA	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin77.fa_virus_summary.tsv k99_966856	3039	No terminal repeats	NA	2	11	0.9233	NA	0	1.6474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin77.fa_virus_summary.tsv k99_1044098	3810	No terminal repeats	NA	1	11	0.7893	NA	0	1.7024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin77.fa_virus_summary.tsv k99_561234	2702	No terminal repeats	NA	1	11	0.7715	NA	0	0.0000	Unclassified
91615_DAStool_bin98.fa_virus_summary.tsv k99_2646087	5543	No terminal repeats	NA	8	11	0.9835	NA	3	11.2586	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2810663	3564	No terminal repeats	NA	11	11	0.9827	NA	0	15.3749	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2244678	6484	No terminal repeats	NA	13	11	0.9827	NA	1	14.1714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
91615_DAStool_bin98.fa_virus_summary.tsv k99_1841590	5587	No terminal repeats	NA	9	11	0.9825	NA	1	11.2570	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_395221	3111	No terminal repeats	NA	12	11	0.9823	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
91615_DAStool_bin98.fa_virus_summary.tsv k99_849963	6086	No terminal repeats	NA	6	11	0.9822	NA	0	9.5873	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2882935	1089	No terminal repeats	NA	4	11	0.9819	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1596390	7228	No terminal repeats	NA	14	11	0.9818	NA	1	16.6070	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_330877	7391	No terminal repeats	NA	11	11	0.9818	NA	1	12.3889	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1373244	8299	No terminal repeats	NA	13	11	0.9818	NA	3	17.1796	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2201109	3450	No terminal repeats	NA	4	11	0.9817	NA	0	6.0590	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2346923	2824	No terminal repeats	NA	3	11	0.9817	NA	1	5.1453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_363047	3360	No terminal repeats	NA	5	11	0.9817	NA	0	8.4282	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae
91615_DAStool_bin98.fa_virus_summary.tsv k99_1346760	8676	No terminal repeats	NA	7	11	0.9816	NA	0	11.7178	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1238654	4058	No terminal repeats	NA	12	11	0.9816	NA	1	16.1918	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_321242	2363	No terminal repeats	NA	3	11	0.9814	NA	2	5.1516	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_313675	8073	No terminal repeats	NA	11	11	0.9814	NA	2	17.1336	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1239208	3838	No terminal repeats	NA	5	11	0.9813	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1243208	3811	No terminal repeats	NA	3	11	0.9812	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_968027	5623	No terminal repeats	NA	6	11	0.9811	NA	1	10.1204	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_620196	2072	No terminal repeats	NA	4	11	0.9811	NA	2	6.6739	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1898856	5018	No terminal repeats	NA	6	11	0.9810	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2067710	3343	No terminal repeats	NA	6	11	0.9810	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1095752	4370	No terminal repeats	NA	8	11	0.9809	NA	2	11.3087	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2524184	2899	No terminal repeats	NA	3	11	0.9808	NA	0	5.1343	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_72830	4618	No terminal repeats	NA	6	11	0.9805	NA	1	10.3085	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1358471	5895	No terminal repeats	NA	12	11	0.9804	NA	1	10.3093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_176720	5042	No terminal repeats	NA	4	11	0.9802	NA	0	5.1235	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_900201	1636	No terminal repeats	NA	3	11	0.9797	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1490758	1870	No terminal repeats	NA	4	11	0.9797	NA	1	6.2623	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2858568	1832	No terminal repeats	NA	3	11	0.9795	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1813697	1001	No terminal repeats	NA	3	11	0.9795	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_364995	2320	No terminal repeats	NA	3	11	0.9793	NA	1	4.8064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1039633	4785	No terminal repeats	NA	11	11	0.9792	NA	0	8.3210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_82066	12022	No terminal repeats	NA	18	11	0.9791	NA	1	20.9916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1221939	2808	No terminal repeats	NA	5	11	0.9791	NA	3	6.6240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2351377	1915	No terminal repeats	NA	5	11	0.9788	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_783435	2003	No terminal repeats	NA	3	11	0.9787	NA	1	5.1536	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_940247	1657	No terminal repeats	NA	3	11	0.9785	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2123479	2149	No terminal repeats	NA	3	11	0.9783	NA	1	4.7519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1130489	2661	No terminal repeats	NA	4	11	0.9782	NA	0	6.1381	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_806536	2920	No terminal repeats	NA	4	11	0.9782	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2814100	6737	No terminal repeats	NA	8	11	0.9781	NA	0	7.7821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2140288	4293	No terminal repeats	NA	5	11	0.9776	NA	2	5.0233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2215854	17052	No terminal repeats	NA	25	11	0.9776	NA	0	31.6184	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_158471	2532	No terminal repeats	NA	3	11	0.9772	NA	0	4.7946	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1929038	10313	No terminal repeats	NA	8	11	0.9771	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_31424	4377	No terminal repeats	NA	6	15	0.9765	NA	0	5.4952	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1809390	4649	No terminal repeats	NA	6	11	0.9764	NA	0	7.5674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2171858	2809	No terminal repeats	NA	2	11	0.9764	NA	1	3.1529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2210462	2698	No terminal repeats	NA	3	11	0.9761	NA	3	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_305949	8575	No terminal repeats	NA	3	11	0.9761	NA	1	5.1198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_363627	11668	No terminal repeats	NA	16	11	0.9761	NA	2	13.4489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1848105	2821	No terminal repeats	NA	7	11	0.9760	NA	2	6.1142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1477945	1372	No terminal repeats	NA	2	11	0.9757	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2788933	1143	No terminal repeats	NA	4	11	0.9756	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_933522	1497	No terminal repeats	NA	3	11	0.9753	NA	1	4.7351	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_244481	4824	No terminal repeats	NA	7	11	0.9751	NA	1	6.5460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_552535	3081	No terminal repeats	NA	5	11	0.9748	NA	0	7.7409	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
91615_DAStool_bin98.fa_virus_summary.tsv k99_809433	1070	No terminal repeats	NA	2	11	0.9745	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae
91615_DAStool_bin98.fa_virus_summary.tsv k99_1897367	1040	No terminal repeats	NA	2	11	0.9743	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1483629	1979	No terminal repeats	NA	2	11	0.9742	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2660906	5700	No terminal repeats	NA	1	11	0.9741	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_819526	4245	No terminal repeats	NA	1	11	0.9739	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_20611	2750	No terminal repeats	NA	5	11	0.9736	NA	0	4.5861	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_38762	2791	No terminal repeats	NA	6	11	0.9736	NA	1	9.6616	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_160565	1643	No terminal repeats	NA	3	11	0.9735	NA	3	5.0128	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2561547	1005	No terminal repeats	NA	3	11	0.9723	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1360081	1209	No terminal repeats	NA	2	11	0.9722	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1732221	4930	No terminal repeats	NA	8	11	0.9722	NA	0	4.6075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2610465	15869	No terminal repeats	NA	18	11	0.9719	NA	1	21.3441	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_823331	1740	No terminal repeats	NA	4	11	0.9716	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_2542085	1514	No terminal repeats	NA	1	15	0.9715	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_547633	3352	No terminal repeats	NA	7	11	0.9710	NA	0	9.9450	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_725710	5215	No terminal repeats	NA	13	11	0.9710	NA	0	3.4366	Unclassified
91615_DAStool_bin98.fa_virus_summary.tsv k99_1416253	1140	No terminal repeats	NA	2	11	0.9709	NA	1	3.0226	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1009377	4038	No terminal repeats	NA	9	11	0.9700	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1376472	1429	No terminal repeats	NA	2	11	0.9699	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_561175	4024	No terminal repeats	NA	12	11	0.9699	NA	0	5.1264	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_336971	8197	No terminal repeats	NA	4	11	0.9681	NA	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
91615_DAStool_bin98.fa_virus_summary.tsv k99_207272	4417	No terminal repeats	NA	8	11	0.9673	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_1405969	2524	No terminal repeats	NA	2	11	0.9672	NA	0	3.4170	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_631976	1197	No terminal repeats	NA	1	11	0.9668	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_860215	1792	No terminal repeats	NA	2	11	0.9658	NA	2	2.7951	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
91615_DAStool_bin98.fa_virus_summary.tsv k99_716135	1884	No terminal repeats	NA	2	11	0.9650	NA	1	3.1382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
